produto;unidade;posicao;peso;tipo;compras;usada_por_codigo;classificacao;motivo
"001.017.005";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.011";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.056";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.062";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.064";"KG";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.068";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.076";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.079";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.080";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.080";"KG";"2";"0.01";"Fator";"false";"false";"suportada";""
"001.017.092";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.092";"M3";"2";"10";"Divisor";"false";"false";"bloqueada";"CONVERSAO_NAO_COMPROVADA: Divisor exige Produto/Load e Insert nativo"
"001.017.092";"M3";"3";"10";"Divisor";"true";"false";"bloqueada";"CONVERSAO_NAO_COMPROVADA: Divisor exige Produto/Load e Insert nativo"
"001.017.107";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.110";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.196";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.208";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.209";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.248";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.248";"KG";"2";"1";"Fator";"true";"false";"suportada";""
"001.017.293";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.326";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.338";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.345";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.349";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.350";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.358";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.368";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.443";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.463";"PC";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.481";"KG";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.481";"PC";"2";"1";"Fator";"false";"false";"suportada";""
"001.017.481";"UNID";"3";"1";"Fator";"true";"false";"suportada";""
"001.017.534";"UN";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.550";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.564";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.564";"KG";"2";"1";"Fator";"true";"false";"suportada";""
"001.017.575";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.577";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.579";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.588";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.588";"PC";"2";"1";"Fator";"true";"false";"suportada";""
"001.017.600";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.608";"UNID";"1";"1";"Fator";"true";"true";"suportada";""
"001.017.608";"KG";"2";"0.01";"Fator";"false";"false";"suportada";""
"001.017.617";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.638";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.645";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.651";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.652";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.653";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.654";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.655";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.656";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.657";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.658";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.659";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.660";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.661";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.662";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.663";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.667";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.668";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.669";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.671";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.676";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.677";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.678";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.679";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.680";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.681";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.688";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
"001.017.689";"UNID";"1";"1";"Fator";"false";"true";"suportada";""
